categoria;pregunta;opcion1;opcion2;opcion3;respuesta
CULTURA Y ARTE;¿Cuál es la flor provincial del Chaco?;Flor del cardo;Flor del Ceibo;Flor rosada del palo borracho;Flor rosada del palo borracho
CULTURA Y ARTE;Un conjunto coral chaqueño fue reconocido como “Patrimonio Cultural Viviente” ¿Cuál es?;El coro polifónico de Resistencia;El coro de niños;El coro Chelaalapí;El coro Chelaalapí
HISTORIA;En 1939 es erigida la Diócesis de Resistencia ¿Quién fue el primer obispo?;Gabriel Grotti;Nicolás de Carlo;José Alumni;Nicolás de Carlo
HISTORIA;El Puente General Belgrano que une las provincias de Chaco y Corrientes se terminó de construir en:;1973;1974;1976;1974
HISTORIA;¿Quién fue el primer gobernador de la Provincia del Chaco?;Felipe Gallardo;Danilo Baroni;Deolindo Bittel;Felipe Gallardo
HISTORIA;Desde cuándo existe la Provincia del Chaco:;8 de Agosto de 1951;8 de Agosto de 1958;8 de Agosto de 1955;8 de Agosto de 1951
HISTORIA;Nuestras primeras poblaciones originarias, pertenecían a las etnias:;Qom y Moqoi;Wichi y Vilelas;Guaraníes;Qom y Moqoi
HISTORIA;La primera ciudad colonial del Chaco fue:;Esteco;Concepción del Bermejo;San Fernando del Río Negro;Concepción del Bermejo
HISTORIA;San Fernando del Río Negro fue una:;Ciudad española;Reducción de los jesuitas;Misión franciscana;Reducción de los jesuitas
HISTORIA;¿Qué reducciones franciscanas se fundaron en el actual territorio del Chaco a finales del siglo XVIII?;San Carlos del Timbo;Nuestra Señora de los Dolores de la Cangaye;San Bernardo de Vértiz;Nuestra Señora de los Dolores de la Cangaye
HISTORIA;La Gobernación del Chaco se creó en:;1810;1862;1900;1862
HISTORIA;La ley 1532 dividió a la Gobernación del Chaco en:;Dos Gobernaciones (Chaco Austral y Chaco Central);Tres Gobernaciones;Cuatro Gobernaciones;Dos Gobernaciones (Chaco Austral y Chaco Central)
HISTORIA;Las autoridades que administraban la Gobernación del Chaco…;Eran elegidas por voto popular;Eran nombradas por el Poder Ejecutivo Nacional;Eran nombradas por el Poder Legislativo Nacional;Eran nombradas por el Poder Ejecutivo Nacional
HISTORIA;La Conquista Militar del Chaco se produjo…;Durante la Triple Alianza;Al terminar la Guerra de la Triple Alianza;En otro período;Al terminar la Guerra de la Triple Alianza
HISTORIA;La llegada de los inmigrantes se dio a raíz de…;Ley Avellaneda sancionada en 1876;Ley 28 de Bartolomé Mitre;Ley 576 de 1872;Ley Avellaneda sancionada en 1876
ECONOMÍA;A inicios del siglo XX, la actividad económica más importante del territorio era…;Algodón;Pesca;Caza;Algodón
ECONOMÍA;El tanino se desarrolló en…;Resistencia;Puerto Tirol;Vicentini;Vicentini
ECONOMÍA;La localidad algodonera fue…;Resistencia;Margarita Belén;Quitilipi;Quitilipi
HISTORIA;Nuestra primera constitución se promulgó en…;1951;1994;1862;1951
CULTURA Y ARTE;¿Cuántos departamentos tiene la provincia del Chaco?;25;20;10;25
GEOGRAFÍA;¿Cuántas rutas nacionales recorren la provincia?;5;4;3;3
GEOGRAFÍA;La Ruta Nacional 16 recorre entre:;Entre Santa Silvina y Resistencia;Entre Resistencia y Pampa del Infierno;Entre Resistencia y Juan José Castelli;Entre Resistencia y Pampa del Infierno
CULTURA Y ARTE;¿Qué Parques Nacionales existen en el Chaco?;Parque Nacional Chaco;Parque Nacional El Impenetrable;Parque Nacional Iberá;Parque Nacional Chaco
CULTURA Y ARTE;Campo del Cielo es reconocido por…;Museo a cielo abierto de meteoritos;Capital de los Inmigrantes;Ciudad de las Esculturas;Museo a cielo abierto de meteoritos
ENTRETENIMIENTO;En Isla del Cerrito se realiza la:;Fiesta del Dorado;Fiesta del Suburí;Fiesta del Moncholo;Fiesta del Dorado
ENTRETENIMIENTO;La Fiesta Provincial del Inmigrante se realiza en…;Castelli;Las Breñas;Puerto Tirol;Las Breñas
ENTRETENIMIENTO;El Festival Nacional Taninero se desarrolla en…;Puerto Vilelas;Charata;Puerto Tirol;Puerto Tirol
ENTRETENIMIENTO;La Fiesta Provincial del Chivo se desarrolla en…;Pampa del Indio;Pampa del Infierno;Castelli;Pampa del Indio
ENTRETENIMIENTO;La Fiesta Nacional del Algodón se desarrolla en…;Charata;Gancedo;Presidencia Roque Sáenz Peña;Presidencia Roque Sáenz Peña
CULTURA Y ARTE;Las Reservas Naturales del Chaco son:;Reserva Natural Provincial Fuerte Esperanza;Campo del Cielo;Villa Río Bermejito;Reserva Natural Provincial Fuerte Esperanza
ENTRETENIMIENTO;La Feria de Artesanía Aborigen Chaqueña se realiza en:;Las Breñas;Fontana;Quitilipi;Quitilipi
GEOGRAFÍA;¿Qué curso de agua se encuentra emplazado entre la provincia del Chaco y Formosa?;Río Pilcomayo;Río Bermejo;Río Negro;Río Bermejo
GEOGRAFÍA;El relieve del Chaco característico es:;Montaña;Sierra;Llanura;Llanura
GEOGRAFÍA;Entre los ríos autóctonos del Chaco, se encuentra:;Paraná;Tragadero;Paraguay;Tragadero
CULTURA Y ARTE;Juan José Castelli es considerada como…;Portal del Impenetrable;Perla del Paraná;Ciudad de las Esculturas;Portal del Impenetrable
DEPORTE;La ciudad de las Breñas logró jugar en el Campeonato Argentino de Clubes en…;Baloncesto;Fútbol;Tiro;Baloncesto
CULTURA Y ARTE;En el municipio de Colonia Benítez se encuentra…;Museo Casa y Jardín Schulz;Estación Experimental Agropecuaria del INTA;Museo a cielo abierto;Museo Casa y Jardín Schulz
CULTURA Y ARTE;La patrona de Barranqueras es…;Inmaculada Concepción de la Virgen María;Virgen de Lourdes;Virgen de Itatí;Inmaculada Concepción de la Virgen María
CULTURA Y ARTE;El Patrono de la ciudad de Resistencia es:;San Fernando Rey;El Cura Brochero;Virgen de Itatí;San Fernando Rey
CULTURA Y ARTE;En Presidencia Roque Sáenz Peña se encuentra:;Complejo Termal Las Olas;Complejo Ecológico y Zoológico;Museo Casa y Jardín Schulz;Complejo Ecológico y Zoológico
CULTURA Y ARTE;En Las Palmas se puede recorrer:;Las ruinas del Ingenio Azucarero;Las termas;Bosque Frutillar;Las ruinas del Ingenio Azucarero
